company_id,row_type,employeesTrend_year,employeesTrend_value
61,employeesTrend,2025,
61,employeesTrend,,401
62,employeesTrend,2017,16
62,employeesTrend,2018,31
62,employeesTrend,2019,40
62,employeesTrend,2020,36
62,employeesTrend,2021,22
62,employeesTrend,2022,17
62,employeesTrend,2023,12
62,employeesTrend,2024,7
62,employeesTrend,2025,
62,employeesTrend,,7
63,employeesTrend,2018,7
63,employeesTrend,2019,10
63,employeesTrend,2020,13
63,employeesTrend,2021,11
63,employeesTrend,2022,10
63,employeesTrend,2023,11
63,employeesTrend,2024,13
63,employeesTrend,2025,
63,employeesTrend,,13
64,employeesTrend,2018,
64,employeesTrend,2019,7
64,employeesTrend,2020,13
64,employeesTrend,2021,
64,employeesTrend,2022,
64,employeesTrend,2023,14
64,employeesTrend,2024,10
64,employeesTrend,2025,
64,employeesTrend,,10
65,employeesTrend,2018,60
65,employeesTrend,2019,80
65,employeesTrend,2020,123
65,employeesTrend,2021,154
65,employeesTrend,2022,197
65,employeesTrend,2023,199
65,employeesTrend,2024,199
65,employeesTrend,2025,
65,employeesTrend,,199
66,employeesTrend,2007,
66,employeesTrend,2008,
66,employeesTrend,2009,
66,employeesTrend,2010,
66,employeesTrend,2011,
66,employeesTrend,2012,
66,employeesTrend,2013,
66,employeesTrend,2014,
66,employeesTrend,2015,
66,employeesTrend,2016,
66,employeesTrend,2017,
66,employeesTrend,2018,
66,employeesTrend,2019,5
66,employeesTrend,2020,5
66,employeesTrend,2021,
66,employeesTrend,2022,
66,employeesTrend,2023,5
66,employeesTrend,2024,5
66,employeesTrend,2025,
66,employeesTrend,,5
67,employeesTrend,2017,
67,employeesTrend,2018,
67,employeesTrend,2019,
67,employeesTrend,2020,7
67,employeesTrend,2021,
67,employeesTrend,2022,
67,employeesTrend,2023,
67,employeesTrend,2024,
67,employeesTrend,2025,
67,employeesTrend,,7
68,employeesTrend,2018,27
68,employeesTrend,2019,32
68,employeesTrend,2020,26
68,employeesTrend,2021,
68,employeesTrend,2022,25
68,employeesTrend,2023,11
68,employeesTrend,2024,9
68,employeesTrend,2025,
68,employeesTrend,,9
69,employeesTrend,2015,
69,employeesTrend,2016,
69,employeesTrend,2017,
69,employeesTrend,2018,10
69,employeesTrend,2019,14
69,employeesTrend,2020,17
69,employeesTrend,2021,20
69,employeesTrend,2022,24
69,employeesTrend,2023,28
69,employeesTrend,2024,21
69,employeesTrend,2025,
69,employeesTrend,,21
70,employeesTrend,2018,2
70,employeesTrend,2019,2
70,employeesTrend,2020,1
70,employeesTrend,2021,
70,employeesTrend,2022,
70,employeesTrend,2023,
70,employeesTrend,2024,1
70,employeesTrend,2025,
70,employeesTrend,,1
71,employeesTrend,2018,2
71,employeesTrend,2019,2
71,employeesTrend,2020,3
