company_id,row_type,cumulativeFunding_year,cumulativeFunding_value
69,cumulativeFunding,2016,500000
69,cumulativeFunding,2017,500000
69,cumulativeFunding,2018,500000
69,cumulativeFunding,2019,500000
69,cumulativeFunding,2020,500000
69,cumulativeFunding,2021,500000
69,cumulativeFunding,2022,500000
69,cumulativeFunding,2023,500000
69,cumulativeFunding,2024,500000
69,cumulativeFunding,2025,500000
69,cumulativeFunding,,500000
71,cumulativeFunding,2018,
71,cumulativeFunding,2019,54400
71,cumulativeFunding,2020,54400
71,cumulativeFunding,2021,54400
71,cumulativeFunding,2022,54400
71,cumulativeFunding,2023,54400
71,cumulativeFunding,2024,54400
71,cumulativeFunding,2025,54400
71,cumulativeFunding,,54400
73,cumulativeFunding,2020,
73,cumulativeFunding,2021,
73,cumulativeFunding,2022,200000
73,cumulativeFunding,2023,200000
73,cumulativeFunding,2024,200000
73,cumulativeFunding,2025,200000
73,cumulativeFunding,,200000
77,cumulativeFunding,2019,2000000
77,cumulativeFunding,2020,2000000
77,cumulativeFunding,2021,2000000
77,cumulativeFunding,2022,2000000
77,cumulativeFunding,2023,2000000
77,cumulativeFunding,2024,2000000
77,cumulativeFunding,2025,2000000
77,cumulativeFunding,,2000000
79,cumulativeFunding,2018,50000
79,cumulativeFunding,2019,50000
79,cumulativeFunding,2020,50000
79,cumulativeFunding,2021,50000
79,cumulativeFunding,2022,50000
79,cumulativeFunding,2023,50000
79,cumulativeFunding,2024,50000
79,cumulativeFunding,2025,50000
79,cumulativeFunding,,50000
82,cumulativeFunding,2019,24000000
82,cumulativeFunding,2020,24000000
82,cumulativeFunding,2021,34000000
82,cumulativeFunding,2022,79000000
82,cumulativeFunding,2023,79000000
82,cumulativeFunding,2024,79000000
82,cumulativeFunding,2025,79000000
82,cumulativeFunding,,79000000
83,cumulativeFunding,2017,815000
83,cumulativeFunding,2018,815000
83,cumulativeFunding,2019,815000
83,cumulativeFunding,2020,815000
83,cumulativeFunding,2021,2166500
83,cumulativeFunding,2022,4352200
83,cumulativeFunding,2023,4352200
83,cumulativeFunding,2024,4352200
83,cumulativeFunding,2025,4352200
83,cumulativeFunding,,4352200
84,cumulativeFunding,2015,200000
84,cumulativeFunding,2016,200000
84,cumulativeFunding,2017,200000
84,cumulativeFunding,2018,200000
84,cumulativeFunding,2019,200000
84,cumulativeFunding,2020,200000
84,cumulativeFunding,2021,200000
84,cumulativeFunding,2022,200000
84,cumulativeFunding,2023,200000
84,cumulativeFunding,2024,200000
84,cumulativeFunding,2025,200000
84,cumulativeFunding,,200000
85,cumulativeFunding,2020,5000000
85,cumulativeFunding,2021,5000000
85,cumulativeFunding,2022,60000000
85,cumulativeFunding,2023,60000000
85,cumulativeFunding,2024,60000000
85,cumulativeFunding,2025,60000000
85,cumulativeFunding,,60000000
90,cumulativeFunding,2021,56500000
90,cumulativeFunding,2022,56500000
90,cumulativeFunding,2023,96500000
90,cumulativeFunding,2024,96500000
90,cumulativeFunding,2025,96500000
90,cumulativeFunding,,96500000
94,cumulativeFunding,2020,
94,cumulativeFunding,2021,
94,cumulativeFunding,2022,
94,cumulativeFunding,2023,4200000
94,cumulativeFunding,2024,4200000
94,cumulativeFunding,2025,4200000
94,cumulativeFunding,,4200000
95,cumulativeFunding,2018,5000000
95,cumulativeFunding,2019,21000000
95,cumulativeFunding,2020,21000000
95,cumulativeFunding,2021,21000000
95,cumulativeFunding,2022,171000000
95,cumulativeFunding,2023,171000000
