company_id,row_type,investor_id,investor_name,investor_position
6454,company_investor,5083,Avishai Levy,Co-founder
6456,company_investor,17617,Alex Levran,"CEO OF EGM, INC., USA"
6456,company_investor,1047,Amir Cohen,Co-founder & CEO
6456,company_investor,17618,Erez  Gamshi,VP Operations
6457,company_investor,17619,Menashe Terem,CEO
6457,company_investor,17620,Ditza Auerbach,Founder & CTO
6458,company_investor,7113,Ofer Lidsky,Founder & President
6458,company_investor,17621,Keren  Chen,VP Biz Dev
6459,company_investor,17622,Erez Attia,Founder & CEO
6460,company_investor,13176,Lior Shalev,Founder & CEO
6461,company_investor,17623,Yoni Assia,Founder & CEO
6461,company_investor,17624,Hedva Ber,Global COO & Deputy CEO
6461,company_investor,17625,Ronen Assia,Co-founder & Executive Director
6461,company_investor,17626,Shalom Berkovitz,Non Executive Director
6462,company_investor,11800,Amit Shaked,Co-founder & CEO
6462,company_investor,17627,Oran Avraham,Co-founder & CTO
6462,company_investor,17628,Ido Livneh,VP Product
6463,company_investor,17629,Tomer Edry,Co-founder & Board Member
6463,company_investor,17630,Alon Eitan ,CEO
6463,company_investor,17631,Eden   Kfir,Co-founder (No longer with the company)
6463,company_investor,17632,Gadi  Regev,Co-founder (No longer with the company)
6463,company_investor,13980,Boaz  Jacobi,Co-founder (No longer with the company)
6463,company_investor,17633,Itai Eshkar,Head of Global Marketing
6464,company_investor,17634,Lior Student,Co-Founder & CEO
6464,company_investor,17635,Amir Student,Co-founder (No longer with the company)
6465,company_investor,17636,Dror Zur,Co-founder & CEO
6466,company_investor,17637,Lior Neumann,Co-founder & CEO
6466,company_investor,17638,Ayal Regev,Co-founder & CTO
6467,company_investor,17639,Yoni Tserruya,Co-founder & CEO
6467,company_investor,17640,Assaf Eisenstein,Co-founder & President
6467,company_investor,17641,Rachel Haim,VP Customer Success 
6468,company_investor,17642,Amitay Kalmar,Co-founder & CEO
6469,company_investor,4872,Gideon Barak,Co-founder & Chairman
6467,company_investor,17643,Shai  Gottesdiener,VP R&D
6467,company_investor,17644,Rachel Shani Stopper,Director HR
